#,TYP STAVBY,KAPLE,KOSTEL,KLÁŠTER,OBYTNÝ OBJEKT,ÚČELOVÝ OBJEKT,ZASVĚCENÍ / NÁZEV,MÍSTO,OD,DO,ROKY,ŠÍŘKA,DÉLKA,POZNÁMKA,INVESTOR,NOVOSTAVBA,PŘESTAVBA,PŘÍSTAVBA,DOSTAVBA
FCA-166101,KAPLE,1,*,*,*,*,VŠECH SVATÝCH,PETRŠPURK NAD PETROHRADEM U LOUN,1660,1661,1,x,x,OKROUHLÁ,ČERNÍNOVÉ,1,*,*,*
FCA-166201,KAŠNA,*,*,*,*,1,x,PRAHA 1 - HRADČANY, ČÁST NÁM. SV. JIŘÍ,1661,1662,1,x,x,ZBYTEK JE SOUČÁSTÍ ORLÍ KAŠNY,x,1,*,*,*
FCA-166202,DŮM,*,*,*,1,*,SVATOVÍTSKÝCH PROBOŠTŮ,PRAHA 1 - HRAD ČP. 18/IV,1661,1662,1,x,x,x,x,*,*,*,*
FCA-166301,KLÁŠTER,*,*,1,*,*,KARMEL,CHÝŠE,1660,1663,3,x,x,x,KARMELITÁNSKÝ ŘÁD,*,1,*,*
FCA-166302,ZÁMEK,*,*,*,1,*,x,NEJDEK,1660,1663,3,x,x,DROBNÉ ÚPRAVY,x,*,1,*,*
FCA-166303,x,*,*,*,1,*,x,STRUŽNÁ,1660,1663,3,x,x,x,x,*,1,*,*
FCA-167201,DŮM,*,*,*,1,*,LOUBSKÝ,PRAHA 1 - MALÁ STRANA, SNĚMOVNÍ UL. 175/III,1670,1672,2,x,x,x,x,*,*,*,*
FCA-167202,KAPLE,1,*,*,*,*,ČERNÍNSKÁ, OLTÁŘ SV. TOMÁŠE,HYBERNSKÝ KLÁŠTER ,PRAHA 1 - NOVÉ MĚSTO,1671,1672,1,x,x,x,x,*,*,*,*
FCA-167301,DŮM,*,*,*,1,*,ODPOČINKOVÝ, RYBÁŘSKOU BAŠTU,DOLNÍ BOUSOV,1672,1673,1,x,x,x,ČERNÍNOVÉ,*,*,*,*
FCA-167302,PALÁC,*,*,*,1,*,x,PRAHA 1 - HRADČANY, NA MÍSTĚ DN. DOMŮ ČP. 174 A 175/IV,1672,1673,1,x,x,ZACHOVÁNÝ PLÁN,NEREALIZOVÁNO,*,*,*,*
FCA-167303,PALÁC,*,*,*,1,*,ČERNÍNSKÝ,PRAHA 1 - HRADČANY, LORETÁNSKÉ NÁMĚSTÍ,1667,1673,6,x,x,REALIZACE JAN DE CAPUI,HUMPRECH JAN ČERNÍN Z CHUDENIC,*,*,*,*
FCA-167501,BAZILIKA,*,1,*,*,*,SV. JIŘÍ,PRAHA 1 - HRADČANY,1670,1675,5,x,x,ZÁPADNÍ PRŮČELÍ,x,*,*,1,*
FCA-167502,KOSTEL,*,1,*,*,*,SV. KŘÍŽE,KOSMONOSY,1672,1675,3,x,x,x,x,*,*,*,*
FCA-167503,HRAD,*,*,*,1,*,x,ANDĚLSKÁ HORA,1671,1675,4,x,x,OPRAVA HRADU,x,*,*,*,*
FCA-167504,KLÁŠTER,*,*,1,*,*,PROFESNÍ KOLEJ,PRAHA 1 - MALÁ STRANA, ČP. 2/ III,1673,1675,2,x,x,x,JEZUITSKÝ ŘÁD,*,*,*,*
FCA-167601,KAPLE,1,*,*,*,*,NAVŠTÍVENÍ PANNA MARIE EINSIEDENSKÉ,RADÍČ,1675,1676,1,x,x,x,MICHNOVÉ,1,*,*,*
FCA-167801,HRAD,*,*,*,1,*,KOST,KOST,1677,1678,1,x,x,x,x,*,1,*,*
FCA-167802,ZÁMEČEK,*,*,*,1,*,HUMPRECH,SOBOTKA,1677,1678,1,x,x,PARAFRÁZE GALLATSKÉ VEŽE V ISTAMBULU,x,*,1,1,*
FCA-167803,ZÁMEK,*,*,*,1,*,x,KOSTOMLATY POD MILEŠOVKOU,1677,1678,1,x,x,x,x,*,*,*,*
