#,TYP STAVBY,KAPLE,KOSTEL,KLÁŠTER,OBYTNÝ OBJEKT,ÚČELOVÝ OBJEKT,ZASVĚCENÍ / NÁZEV,MÍSTO,OD,DO,ROKY,ŠÍŘKA,DÉLKA,POZNÁMKA,INVESTOR,NOVOSTAVBA,PŘESTAVBA,PŘÍSTAVBA,DOSTAVBA
JBS-170401,DĚKANSTVÍ,*,*,1,*,*,KAPITULA SV. VÍTA,"PRAHA 1 - HRADČANY, PRAŽSKÝ HRAD ČP.37",1703,1704,1," 50° 5'25.29""S"," 14°23'59.94""V",KAPITULNÍ,KAPITULNÍ DĚKAN A.J.MLADOTA ZE SOLOPYSK,*,1,*,*
JBS-170402,DŮM,*,*,*,1,*,U JEŽÍŠKA,"PRAHA 1 - STARÉ MĚSTO, TRŽIŠTĚ ČP.303-2",1703,1704,1," 50° 5'15.15""S"," 14°24'3.34""V",*,x,*,*,1,*
JBS-170501,KOSTEL,*,1,*,*,*,SV.JAKUBA VĚTŠÍHO,KOPIDLNO,1704,1705,1,"50°19'49.60""S"," 15°16'8.34""V",PLÁN / FARNÍ,HRABĚ F.J.ŠLIK,1,*,*,*
JBS-170502,PALÁC,*,*,*,1,*,LISOVSKÝ,"PRAHA 1 - STARÉ MĚSTO, STAROMĚSTSKÉ NÁM.ČP.935",1704,1705,1," 50° 5'17.01""S"," 14°25'13.93""V",ZBOŘEN R. 1895 ASANACE,HRABĚ J.RUDOLF Z LISOVA,*,1,*,*
JBS-170701,KAPLE,1,*,*,*,*,SV.ANNA,PANENSKÉ BŘEŽANY,1705,1707,2," 50°12'45.27""S"," 14°26'17.67""V",PŘI LETNÍ REZIDENCI,BENEDIKTINKY SV. JIŘÍ NA PRAŽSKÉM HRADĚ / ABATYŠE F.H.PIERONI DE GAGLIANO,1,*,*,*
JBS-170702,KOSTEL,*,*,*,*,*,BOŽSKÉ PROZŘETELNOSTI,PRAHA 1 - MALÁ STRANA,1706,1707,1," 50° 5'18.97""S"," 14°23'59.03""V",PRŮČELÍ /  KLÁŠTERNÍ,ŘÁD TEATINŮ / PROBOŠTI ŘÁDU / DNES SV. KAJETÁN,*,*,*,1
JBS-170801,KOSTEL,*,*,*,*,*,SV.PROKOPA,CHOTOUŇ,1707,1708,1," 50° 3'59.03""S"," 14°57'22.94""V",FILIÁLNÍ ,HRABATA BEKOVÉ Z DUBÉ,1,*,*,*
JBS-170901,HŘBITOV,*,*,*,*,*,DOLNÍ,ŽDÁR NAD SÁZAVOU,1708,1709,1," 49°35'7.00""S"," 15°56'2.36""V",*,ŘÁD CISTERCIÁKŮ / ŽĎÁRSKÝ OPAT V.VEJMLUVA,1,*,*,*
JBS-170902,KLÁŠTER,*,*,*,*,*,x,JESENEC,1707,1709,2," 49°36'37.58""S"," 16°51'45.51""V",REZIDENCE ,ŘÁD PREMONSTRÁTŮ BERNO - ZÁBRDOVICE / ZÁBRDOVICKÝ OPAT E.HÁJEK,1,*,*,*
JBS-171001,KAPLE,1,*,*,*,*,JMÉNA P.MARIE,MLADOTICE,1708,1710,2," 49°59'9.18""S"," 13°22'0.05""V",*,ŘÁD CISTERCIÁKŮ / PLASKÝ OPAT E.TYTL,1,*,*,*
