#,TYP STAVBY,KAPLE,KOSTEL,KLÁŠTER,OBYTNÝ OBJEKT,ÚČELOVÝ OBJEKT,ZASVĚCENÍ / NÁZEV,MÍSTO,OD,DO,ROKY,ŠÍŘKA,DÉLKA,POZNÁMKA,INVESTOR,NOVOSTAVBA,PŘESTAVBA,PŘÍSTAVBA,DOSTAVBA,*
KID-171501,KOSTEL,*,1,*,*,*,NEJSVĚTĚJŠÍ TROJICE,TRHOVÉ SVINY,1709,1715,6," 48°49'25.61""S"," 14°37'56.64""V",POUTNÍ,*,*,*,*,*,*
KID-172001,LETOHRÁDEK,*,*,*,1,*,"MICHNY Z VACÍNOVA, ZV. VILLA AMERIKA",PRAHA 2 - NOVÉ MĚSTO,1717,1720,3," 50° 4'25.20""S"," 14°25'36.98""V",x,x,1,*,*,*,*
KID-172101,KOSTEL,*,1,*,*,*,NAROZENÍ PANNY MARIE,"PLÁNICE, ČÁST NICOV",1720,1721,1," 49°22'57.74""S"," 13°30'2.10""V", POUTNÍ,x,1,*,*,*,*
KID-172201,KLÁŠTER,*,*,1,*,*,JEZUITSKÁ KOLEJ,OLOMOUC,1720,1722,2," 49°35'45.09""S"," 17°15'24.49""V",x,x,1,*,*,*,*
KID-172301,LORETA,*,*,1,1,*,HLAVNÍ PRŮČELÍ,PRAHA 1 - HRADČANY,1722,1723,1," 50° 5'21.14""S"," 14°23'29.83""V",x,x,*,1,*,*,*
KID-172401,KAPLE,1,*,*,*,*,ZRCADLOVÁ / KLEMENTINUM,PRAHA 1 - STARÉ MĚSTO,1723,1724,1," 50° 5'12.54""S"," 14°24'59.56""V",x,x,*,1,*,*,*
KID-172501,KOSTEL,*,1,*,*,*,PANNY MARIE SEDMIBOLESTNÉ U ALŽBĚTINEK,"PRAHA 2 - NOVÉ MĚSTO, NA SLUPI",1724,1725,1," 50° 4'10.14""S"," 14°25'12.99""V",x,x,*,1,*,*,*
KID-172601,VOJTĚŠKA,*,*,1,*,*,BŘEVNOVSKÝ KLÁŠTER,PRAHA 6 - BŘEVNOV,1724,1726,2," 50° 5'7.98""S"," 14°21'19.23""V",x,x,*,*,1,*,*
KID-172602,DŮM,*,*,*,1,*,U DVOU HRDLIČEK,"PRAHA 1 - MALÁ STRANA , NOSTICOVA UL. 466/5",1725,1726,1," 50° 5'4.64""S"," 14°24'22.57""V",x,x,*,1,*,*,*
KID-172603,KOSTEL,*,1,*,*,*,VŠECH SVATÝCH,HEŘMÁNKOVICE,1722,1726,4," 50°37'56.84""S"," 16°19'19.18""V",PŮDORYS PROTÁHLÉHO OSMIÚHELNÍKU,x,1,*,*,*,*
KID-172604,KOSTEL,*,1,*,*,*,SV. BARBORY,OTOVICE NA NÁCHODSKU,1725,1726,1," 50°33'26.94""S"," 16°23'8.74""V",x,x,1,*,*,*,*
KID-172605,KOSTEL,*,1,*,*,*,SV. VOJTĚCHA,POČÁPLY U TEREZÍNA,1725,1726,1," 50°31'21.19""S"," 14°11'55.83""V",x,x,1,*,*,*,*
KID-172606,DŮM,*,*,*,1,*,U ZLATÉHO JELENA,"PRAHA 1 - MALÁ STRANA, TOMÁŠSKÁ ČP.26",1725,1726,1," 50° 5'23.12""S"," 14°24'17.62""V",x,x,*,1,*,*,*
KID-172701,KOSTEL,*,1,*,*,*,SV. ANNY,VIŽŇOV,1725,1727,2," 50°38'41.06""S"," 16°14'20.68""V",x,x,1,*,*,*,*
KID-172702,KOSTEL,*,1,*,*,*,SV. PROKOPA,BEZDĚKOV NAD METUJÍ,1724,1727,3," 50°30'31.87""S"," 16°13'57.03""V",x,x,1,*,*,*,*
KID-172801,KOSTEL,*,1,*,*,*,SV. JANA NEPOMUCKÉHO A KLÁŠTER VORŠILEK,PRAHA 1 - HRADČANY,1720,1728,8," 50° 5'25.10""S"," 14°23'35.91""V",x,x,*,1,*,*,*
KID-172802,DŮM,*,*,*,1,*,VILLA PORTHEIMKA,PRAHA 5 - SMÍCHOV,1725,1728,3," 50° 4'25.48""S"," 14°24'14.46""V",x,x,1,*,*,*,*
KID-173001,KOSTEL,*,1,*,*,*,SV. MARKÉTY,ŠONOV NA BROUMOVSKU,1726,1730,4," 50°35'25.46""S"," 16°23'47.87""V",x,x,1,*,*,*,*
KID-173002,KOSTEL,*,1,*,*,*,SV. MÁŘÍ MAGDALENY,KARLOVY VARY,1729,1730,1," 50°13'21.59""S"," 12°53'3.81""V",x,x,1,*,*,*,*
KID-173101,KOSTEL,*,1,*,*,*,SV. TOMÁŠE,PRAHA 1 - MALÁ STRANA,1725,1731,6," 50° 5'19.67""S"," 14°24'19.04""V",x,x,*,1,*,*,*
KID-173102,KOSTEL,*,1,*,*,*,SV. HEDVIKY,LEGNICKIE POLE / OKRES LEGNICA / SLEZSKO / POLSKO - NĚM. WAHLSTATT,1723,1731,8," 51° 8'42.54""S"," 16°14'34.15""V",x,x,1,*,*,*,*
KID-173103,KLÁŠTER,*,*,1,*,*,BENEDIKTÍNSKÉ OPATSTVÍ,LEGNICKIE POLE / OKRES LEGNICA / SLEZSKO / POLSKO - NĚM. WAHLSTATT,1723,1731,8," 51° 8'41.58""S"," 16°14'36.83""V",x,x,1,*,*,*,*
KID-173201,KLÁŠTER,*,*,1,*,*,DOKONČENÍ BUDOV PO J.B.SANTINI,KLADRUBY U STŘÍBRA,1723,1732,9," 49°42'45.41""S"," 12°59'43.94""V",x,x,*,*,1,*,*
KID-173301,KAPLE,1,*,*,*,*,PANNY MARIE SNĚŽNÉ NA HVĚZDĚ,KŘINICE / BROUMOV,1732,1733,1," 50°34'1.65""S"," 16°16'0.45""V",x,x,1,*,*,*,*
KID-173302,KOSTEL,*,1,*,*,*,SV. VÁCLAVA,BROUMOV,1726,1733,7," 50°34'59.80""S"," 16°20'3.56""V","PŘEDSÍŇ, DLAŽBA",BENEDIKTÍNSKÝ ŘÁD,1,*,*,*,*
KID-173303,KLÁŠTER,*,*,1,*,*,BENEDIKTÍNSKÉ OPATSTVÍ,BROUMOV,1726,1733,7," 50°35'12.24""S"," 16°20'1.95""V",x,BENEDIKTÍNSKÝ ŘÁD,*,1,*,*,*
KID-173501,KOSTEL,*,1,*,*,*,SV. MIKULÁŠE,PRAHA 1 - STARÉ MĚSTO,1732,1735,3," 50° 5'16.17""S"," 14°25'11.43""V",x,x,1,*,*,*,*
KID-173502,BENEDIKTÍNSKÝ,*,*,1,*,*, BENEDIKTÍNSKÝ ,PRAHA 1 - STARÉ MĚSTO,1732,1735,3," 50° 5'17.01""S"," 14°25'11.05""V",x,x,1,*,*,*,*
KID-173503,KLÁŠTER,*,*,1,*,*,VORŠILEK,KUTNÁ HORA,1730,1735,5," 49°57'5.28""S"," 15°16'6.34""V",x,x,1,*,*,*,*
KID-173504,KOSTEL,*,1,*,*,*,SV. FRANTIŠKA XAVERSKÉHO,OPAŘANY,1732,1735,3," 49°23'41.97""S"," 14°29'1.42""V",x,JEZUITSKÝ ŘÁD,1,*,*,*,*
KID-173505,KOSTEL,*,1,*,*,*,SV. KLIMENTA,ODOLENA VODA,1733,1735,2," 50°13'54.36""S"," 14°24'35.44""V",x,x,1,*,*,*,*
