#,TYP STAVBY,KAPLE,KOSTEL,KLÁŠTER,CIVILNÍ OBJEKT,ÚČELOVÝ OBJEKT,ZASVĚCENÍ / NÁZEV,MÍSTO,OD,DO,ROKY,ŠÍŘKA,DÉLKA,POZNÁMKA,INVESTOR,NOVOSTAVBA,PŘESTAVBA,PŘÍSTAVBA,DOSTAVBA
KDI-169301,KAPLE,1,*,*,*,*,SV. MÁŘÍ MAGDALENY,SKALKA U MNÍŠKU POD BRDY,1692,1693,1,x,x,x,x,1,*,*,*
KDI-169501,LORETA,1,*,*,*,*,PANNA MARIE Z NAZARETU,PRAHA - HRADČANY,1692,1695,3,x,x,PRŮČELÍ,x,1,*,*,*
KDI-169801,CHRÁM,*,1,*,*,*,NAROZENÍ SV. JANA KŘTITELE,ÚTERÝ,1665,1698,33,x,x,x,x,1,*,*,*
KDI-169901,KLÁŠTER,*,*,1,*,*,*,TEPLÁ,1692,1699,7,x,x,x,x,*,1,*,*
KDI-170101,KOSTEL,*,1,*,*,*,KŘÍŽOVNÍKŮ,CHLUM SVATÉ MÁŘÍ,1690,1701,11,x,x,x,x,1,*,*,*
KDI-170102,PEVNOSTNÍ STAVBY,1,*,*,*,1,*,CHEB,1698,1701,3,x,x,x,x,1,*,*,*
KDI-170701,PALÁC,*,*,*,1,*,ŠTERNBERSKÝ,PRAHA - HRADČANY,1698,1707,9,x,x,x,x,1,*,*,*
KDI-170702,DŮM,*,*,*,1,*,ROŽMBERSKÝ,"PRAHA - HRADČANY, ČP 63",1698,1707,9,x,x,x,x,1,*,*,*
KDI-171001,DŮM,*,*,*,1,*,U BÍLÉ KUŽELKY,"PRAHA , MÍŠENSKÁ ČP.66",1705,1710,5,x,x,x,x,*,1,*,1
KDI-171101,KAPLE,*,1,*,*,*,ZJEVENÍ PÁNĚ,SMIŘICE,1699,1711,12,x,x,ZÁMECKÁ,x,1,*,*,*
KDI-171002,KOSTEL,*,1,*,*,*,PAULÁNŮ,OBOŘIŠTĚ,1702,1711,9,x,x,KLÁŠTERNÍ,x,1,*,*,*
KDI-170903,KOSTEL,*,1,*,*,*,SV. KLÁRY,CHEB,1703,1711,8,x,x,x,x,1,*,*,*
KDI-171301,KOSTEL,*,1,*,*,*,NEJSVĚTĚJŠÍ TROJICE,"PRAHA 1 - NOVÉ MĚSTO,SPÁLENÁ",1708,1713,5,x,x,x,x,1,*,*,*
KDI-171401,PALÁC,*,*,*,1,*,KAISERŠTEJNSKÝ,"PRAHA 1 - MALÁ STRANA, MALOSTRANSKÉ NÁMĚSTÍ 37",1713,1714,1,x,x,"ALLIPRANDY, PROVEDENÍ STAVBY K.D. PŘESTAVBA",x,1,*,*,*
KDI-171501,DŮM,*,*,*,1,*,WEISBÍROVSKÝ,"PRAHA - MALÁ STRANA, TOMÁŠSKÁ 11/ ČP. 13",1710,1715,5,x,x,x,x,*,*,*,1
KDI-171502,BAZILIKA,*,1,*,*,*,SV. MARKÉTY,"PRAHA 6, BŘEVNOVSKÝ KLÁŠTER",1708,1715,7,x,x,x,x,1,*,*,*
KDI-172001,PALÁC,*,*,*,1,*,VRTBOVSKÝ,"PRAHA 1 - MALÁ STRANA, KARMELITSKÁ 25",1631,1720,89,x,x,x,x,*,1,*,*
KDI-172201,KLÁŠTER,*,*,1,*,*,VORŠILEK U KOSTELA SV. JANA NEPOMUCKÉHO,PRAHA - HRADČANY,1720,1722,2,x,x,x,x,1,*,*,*
KDI-172301,KOSTEL,*,1,*,*,*,SV. MICHALA,VERNÉŘOVICE U NÁCHODA,1719,1723,4,x,x,x,x,1,*,*,*
KDI-172302,KOSTEL,*,1,*,*,*,SV. JAKUBA,RUPRECHTICE U NÁCHODA,1720,1723,3,x,x,x,x,1,*,*,*
KDI-172401,KOSTEL,*,1,*,*,*,PAULÁNSKÝ P.MARIE,NOVÁ PAKA,1709,1724,15,x,x,x,x,1,*,*,*
KDI-172801,KOSTEL,*,1,*,*,*,SV. JANA NEPOMUCKÉHO,PRAHA - HRADČANY,1720,1728,8,x,x,x,x,1,*,*,*
KDI-173701,CHRÁM,*,1,*,*,*,SV. MIKULÁŠE,"PRAHA 1 - MALÁ STRANA, MALOSTRANSKÉ NÁMĚSTÍ",1703,1737,34,x,x,x,x,1,*,*,*
KDI-174001,KLÁŠTER,*,*,1,*,*,BŘEVNOVSKÝ,PRAHA 6,1708,1740,32,x,x,x,x,*,1,*,*
